13000,0,9.8,18.1,18.8,25
10000,12.1,20.4,31.7,39.1,43.8
8000,24.3,35.6,50,59.4,62.5
6000,36.4,58,71.8,79.7,81.3
3000,100,100,100,100,100
,-400,-300,-200,-100,-50
